oln_id_a	oln_id_b	edge_type
YAL063C	YCR028C-A	genetic_interaction
YAL063C	YGL024W	genetic_interaction
YAL063C	YHR116W	genetic_interaction
YAL063C	YLR218C	genetic_interaction
YAL063C	YMR183C	genetic_interaction
YAL060W	YBL031W	genetic_interaction
YAL060W	YCL010C	genetic_interaction
YAL060W	YCR053W	genetic_interaction
YAL060W	YDL095W	genetic_interaction
YAL060W	YDL013W	genetic_interaction
YAL060W	YDL002C	genetic_interaction
YAL060W	YDR274C	genetic_interaction
YAL060W	YDR352W	genetic_interaction
YAL060W	YFL003C	genetic_interaction
YAL060W	YGR037C	genetic_interaction
YAL060W	YIL036W	genetic_interaction
YAL060W	YJL079C	genetic_interaction
YAL060W	YJR087W	genetic_interaction
YAL060W	YLR184W	genetic_interaction
YAL060W	YMR202W	genetic_interaction
YAL060W	YOL124C	genetic_interaction
YAL060W	YOR179C	genetic_interaction
YAL060W	YPL053C	genetic_interaction
YAL059W	YBR239C	genetic_interaction
YAL059W	YBR240C	genetic_interaction
YAL059W	YCL026C	genetic_interaction
YAL059W	YCL026C-A	genetic_interaction
YAL059W	YCR062W	genetic_interaction
YAL059W	YDR101C	genetic_interaction
YAL059W	YDR359C	genetic_interaction
YAL059W	YFR032C-A	genetic_interaction
YAL059W	YGL180W	genetic_interaction
YAL059W	YJR074W	genetic_interaction
YAL059W	YLR018C	genetic_interaction
YAL059W	YML012C-A	genetic_interaction
YAL059W	YMR172C-A	genetic_interaction
YAL058W	YBR015C	genetic_interaction
YAL058W	YBR132C	genetic_interaction
YAL058W	YBR229C	genetic_interaction
YAL058W	YCL075W	genetic_interaction
YAL058W	YDL062W	genetic_interaction
YAL058W	YDL006W	genetic_interaction
YAL058W	YDR245W	genetic_interaction
YAL058W	YDR414C	genetic_interaction
YAL058W	YFL025C	genetic_interaction
YAL058W	YGL036W	genetic_interaction
YAL058W	YGL027C	genetic_interaction
YAL058W	YHR030C	genetic_interaction
YAL058W	YJL095W	genetic_interaction
YAL058W	YJL062W	genetic_interaction
YAL058W	YJR075W	genetic_interaction
YAL058W	YJR117W	genetic_interaction
YAL058W	YKL053C-A	genetic_interaction
YAL058W	YLL006W	genetic_interaction
YAL058W	YLR039C	genetic_interaction
YAL058W	YLR087C	genetic_interaction
YAL058W	YLR372W	genetic_interaction
YAL058W	YML071C	genetic_interaction
YAL058W	YMR214W	genetic_interaction
YAL058W	YMR256C	genetic_interaction
YAL058W	YMR307W	genetic_interaction
YAL058W	YNR041C	genetic_interaction
YAL056W	YCL063W	genetic_interaction
YAL056W	YCL060C	genetic_interaction
YAL056W	YCL056C	genetic_interaction
YAL056W	YCL036W	genetic_interaction
YAL056W	YCL033C	genetic_interaction
YAL056W	YCL032W	genetic_interaction
YAL056W	YCL026C	genetic_interaction
YAL056W	YCR027C	genetic_interaction
YAL056W	YCR063W	genetic_interaction
YAL056W	YER151C	genetic_interaction
YAL056W	YFL033C	genetic_interaction
YAL056W	YGR101W	genetic_interaction
YAL056W	YGR259C	genetic_interaction
YAL056W	YGR281W	genetic_interaction
YAL056W	YHR008C	genetic_interaction
YAL056W	YHR021C	genetic_interaction
YAL056W	YHR081W	genetic_interaction
YAL056W	YHR178W	genetic_interaction
YAL056W	YKL040C	genetic_interaction
YAL056W	YKL009W	genetic_interaction
YAL056W	YLR367W	genetic_interaction
YAL056W	YML128C	genetic_interaction
YAL056W	YNL051W	genetic_interaction
YAL056W	YNR067C	genetic_interaction
YAL056W	YOL081W	genetic_interaction
YAL056W	YOR053W	genetic_interaction
YAL056W	YOR135C	genetic_interaction
YAL056W	YOR136W	genetic_interaction
YAL056W	YOR371C	genetic_interaction
YAL056W	YPR191W	genetic_interaction
YAL043C	YBL051C	genetic_interaction
YAL043C	YBR098W	genetic_interaction
YAL043C	YBR131W	genetic_interaction
YAL043C	YBR288C	genetic_interaction
YAL043C	YCL010C	genetic_interaction
YAL043C	YDL104C	genetic_interaction
YAL043C	YDL077C	genetic_interaction
YAL043C	YDL048C	genetic_interaction
YAL043C	YDR101C	genetic_interaction
YAL043C	YDR259C	genetic_interaction
YAL043C	YDR293C	genetic_interaction
YAL043C	YFL056C	genetic_interaction
YAL043C	YGL255W	genetic_interaction
YAL043C	YGL212W	genetic_interaction
YAL043C	YGL156W	genetic_interaction
YAL043C	YGL016W	genetic_interaction
YAL043C	YGR001C	genetic_interaction
YAL043C	YHR003C	genetic_interaction
YAL043C	YHR129C	genetic_interaction
YAL043C	YHR138C	genetic_interaction
YAL043C	YIL160C	genetic_interaction
YAL043C	YIL040W	genetic_interaction
YAL043C	YJL178C	genetic_interaction
YAL043C	YJL043W	genetic_interaction
YAL043C	YJR079W	genetic_interaction
YAL043C	YJR120W	genetic_interaction
YAL043C	YKR019C	genetic_interaction
YAL043C	YKR031C	genetic_interaction
YAL043C	YLR050C	genetic_interaction
YAL043C	YLR057W	genetic_interaction
YAL043C	YLR371W	genetic_interaction
YAL043C	YML107C	genetic_interaction
YAL043C	YMR111C	genetic_interaction
YAL043C	YMR216C	genetic_interaction
YAL043C	YNL127W	genetic_interaction
YAL043C	YNL098C	genetic_interaction
YAL043C	YNL090W	genetic_interaction
YAL043C	YOR049C	genetic_interaction
YAL043C	YPR045C	genetic_interaction
YAL042W	YDR169C	genetic_interaction
YAL042W	YDR388W	genetic_interaction
YAL042W	YGR034W	genetic_interaction
YAL042W	YHR034C	genetic_interaction
YAL042W	YIL029C	genetic_interaction
YAL042W	YJL095W	genetic_interaction
YAL042W	YJR054W	genetic_interaction
YAL042W	YKL041W	genetic_interaction
YAL042W	YKR020W	genetic_interaction
YAL042W	YLL039C	genetic_interaction
YAL042W	YML112W	genetic_interaction
YAL042W	YML034W	genetic_interaction
YAL042W	YOR068C	genetic_interaction
YAL042W	YOR270C	genetic_interaction
YAL042W	YPL080C	genetic_interaction
YAL042W	YPR070W	genetic_interaction
YAL041W	YBR231C	genetic_interaction
YAL041W	YCR062W	genetic_interaction
YAL041W	YDL173W	genetic_interaction
YAL041W	YDL081C	genetic_interaction
YAL041W	YDL013W	genetic_interaction
YAL041W	YDR080W	genetic_interaction
YAL041W	YDR147W	genetic_interaction
YAL041W	YER061C	genetic_interaction
YAL041W	YER116C	genetic_interaction
YAL041W	YER161C	genetic_interaction
YAL041W	YFR013W	genetic_interaction
YAL041W	YGL255W	genetic_interaction
YAL041W	YGL029W	genetic_interaction
YAL041W	YGR101W	genetic_interaction
YAL041W	YHR178W	genetic_interaction
YAL041W	YJL186W	genetic_interaction
YAL041W	YKL171W	genetic_interaction
YAL041W	YKL081W	genetic_interaction
YAL041W	YLL047W	genetic_interaction
YAL041W	YLR039C	genetic_interaction
YAL041W	YLR089C	genetic_interaction
YAL041W	YLR107W	genetic_interaction
YAL041W	YLR205C	genetic_interaction
YAL041W	YLR313C	genetic_interaction
YAL041W	YML001W	genetic_interaction
YAL041W	YMR030W	genetic_interaction
YAL041W	YNR007C	genetic_interaction
YAL041W	YOL014W	genetic_interaction
YAL041W	YOL001W	genetic_interaction
YAL041W	YOR101W	genetic_interaction
YAL041W	YPL262W	genetic_interaction
YAL041W	YBR238C	genetic_interaction
YAL041W	YBR274W	genetic_interaction
YAL041W	YBR294W	genetic_interaction
YAL041W	YDL240W	genetic_interaction
YAL041W	YDL191W	genetic_interaction
YAL041W	YDL104C	genetic_interaction
YAL041W	YDL085W	genetic_interaction
YAL041W	YDR094W	genetic_interaction
YAL041W	YDR099W	genetic_interaction
YAL041W	YDR262W	genetic_interaction
YAL041W	YDR287W	genetic_interaction
YAL041W	YDR392W	genetic_interaction
YAL041W	YDR403W	genetic_interaction
YAL041W	YDR520C	genetic_interaction
YAL041W	YER048C	genetic_interaction
YAL041W	YER093C-A	genetic_interaction
