oln_id_a	oln_id_b	score	edge_type
YGL035C	YDR477W	31.495818	kinase->target_protein
YLR079W	YBR160W	30.1214	kinase->target_protein
YBR156C	YPL209C	29.349988	kinase->target_protein
YJL187C	YBR160W	28.11273	kinase->target_protein
YJL187C	YMR001C	26.06954	kinase->target_protein
YPL140C	YHR030C	26.05867	kinase->target_protein
YLL043W	YLR113W	25.460711	kinase->target_protein
YGR233C	YPL031C	25.26655	kinase->target_protein
YLR248W	YLR113W	25.24034	kinase->target_protein
YOL001W	YPL031C	25.097291	kinase->target_protein
YFR034C	YPL031C	25.09087	kinase->target_protein
YDR477W	YER129W	24.661471	kinase->target_protein
YMR001C	YBR160W	24.61984	kinase->target_protein
YIR006C	YIL095W	24.51295	kinase->target_protein
YJR053W	YOR233W	24.45886	kinase->target_protein
YAR007C	YBR136W	24.36728	kinase->target_protein
YBR133C	YKL101W	23.130898	kinase->target_protein
YOR083W	YBR160W	22.94789	kinase->target_protein
YDR130C	YBR160W	22.45656	kinase->target_protein
YBR160W	YJL187C	22.30999	kinase->target_protein
YDL101C	YPL153C	22.07846	kinase->target_protein
YGL180W	YKL166C	21.8142	kinase->target_protein
YJL076W	YBR160W	21.77112	kinase->target_protein
YDL003W	YMR001C	21.62542	kinase->target_protein
YGL003C	YBR160W	21.47664	kinase->target_protein
YKL042W	YDL028C	21.38436	kinase->target_protein
YBL007C	YIL095W	21.161866	kinase->target_protein
YDR388W	YPL031C	21.059121	kinase->target_protein
YLR006C	YDL235C	20.985858	kinase->target_protein
YNL161W	YHR102W	20.95121	kinase->target_protein
YHR164C	YBR160W	20.89848	kinase->target_protein
YFL033C	YHR205W	20.687081	kinase->target_protein
YGL180W	YPL203W	20.609	kinase->target_protein
YGL180W	YJL164C	20.609	kinase->target_protein
YER174C	YGR262C	20.59573	kinase->target_protein
YMR165C	YPL031C	20.49724	kinase->target_protein
YGR086C	YDR490C	20.47447	kinase->target_protein
YPL269W	YBR160W	20.44135	kinase->target_protein
YDR293C	YNL161W	20.2712482	kinase->target_protein
YOR372C	YBR160W	20.24557	kinase->target_protein
YNL025C	YHR030C	20.14043	kinase->target_protein
YDR379W	YBR160W	20.12555	kinase->target_protein
YER161C	YIL035C	20.06734	kinase->target_protein
YER161C	YOR061W	20.06734	kinase->target_protein
YBR182C	YLR113W	19.82056	kinase->target_protein
YOR231W	YHR030C	19.742259	kinase->target_protein
YNL068C	YBR160W	19.71376	kinase->target_protein
YPL153C	YMR001C	19.5563	kinase->target_protein
YAL040C	YBR160W	19.51376	kinase->target_protein
YPL089C	YHR030C	19.488161	kinase->target_protein
YDR113C	YBR160W	19.46792	kinase->target_protein
YPL124W	YDL028C	19.4008	kinase->target_protein
YBR160W	YFL029C	19.34162	kinase->target_protein
YML058W	YDL101C	19.22809	kinase->target_protein
YDR217C	YBR160W	18.96436	kinase->target_protein
YGR092W	YAR019C	18.787011	kinase->target_protein
YDL140C	YDL108W	18.74789	kinase->target_protein
YBR200W	YBR160W	18.49026	kinase->target_protein
YGR113W	YPL209C	18.4882	kinase->target_protein
YGR086C	YOL100W	18.46091	kinase->target_protein
YIL033C	YPL203W	18.3802382	kinase->target_protein
