oln_id_a	oln_id_b	edge_typ
YBR049C	YGR078C	transcription_factor->target_gene
YBR083W	YBR070C	transcription_factor->target_gene
YBR083W	YGR149W	transcription_factor->target_gene
YBR182C	YCR073C	transcription_factor->target_gene
YDR146C	YDL035C	transcription_factor->target_gene
YDR207C	YPL147W	transcription_factor->target_gene
YHR084W	YLR042C	transcription_factor->target_gene
YDR310C	YOR213C	transcription_factor->target_gene
YDR421W	YHR135C	transcription_factor->target_gene
YEL009C	YBR147W	transcription_factor->target_gene
YHR084W	YBR117C	transcription_factor->target_gene
YHR084W	YLR414C	transcription_factor->target_gene
YHR006W	YBR040W	transcription_factor->target_gene
YHR084W	YLR403W	transcription_factor->target_gene
YKL043W	YEL070W	transcription_factor->target_gene
YKL109W	YLR168C	transcription_factor->target_gene
YKL112W	YDR312W	transcription_factor->target_gene
YKL112W	YGL222C	transcription_factor->target_gene
YKL112W	YMR061W	transcription_factor->target_gene
YKL112W	YMR129W	transcription_factor->target_gene
YLR131C	YDR156W	transcription_factor->target_gene
YLR182W	YDR113C	transcription_factor->target_gene
YLR403W	YJL035C	transcription_factor->target_gene
YNL068C	YOR247W	transcription_factor->target_gene
YNL216W	YBR181C	transcription_factor->target_gene
YNL216W	YOR344C	transcription_factor->target_gene
YPL038W	YAL012W	transcription_factor->target_gene
YPL089C	YCR018C-A	transcription_factor->target_gene
YBL103C	YEL050C	transcription_factor->target_gene
YBR083W	YHL021C	transcription_factor->target_gene
YBR083W	YHR152W	transcription_factor->target_gene
YBR083W	YHR156C	transcription_factor->target_gene
YBR083W	YIL087C	transcription_factor->target_gene
YBR083W	YIL117C	transcription_factor->target_gene
YBR083W	YIR013C	transcription_factor->target_gene
YBR083W	YIR019C	transcription_factor->target_gene
YBR083W	YJL016W	transcription_factor->target_gene
YBR083W	YJL142C	transcription_factor->target_gene
YBR083W	YJL186W	transcription_factor->target_gene
YBR083W	YJR030C	transcription_factor->target_gene
YBR083W	YJR153W	transcription_factor->target_gene
YBL103C	YJR148W	transcription_factor->target_gene
YBL103C	YLR049C	transcription_factor->target_gene
YBL103C	YLR089C	transcription_factor->target_gene
YBL021C	YJR082C	transcription_factor->target_gene
YBL021C	YLL027W	transcription_factor->target_gene
YBL021C	YLR220W	transcription_factor->target_gene
YBL021C	YML119W	transcription_factor->target_gene
YBL021C	YML120C	transcription_factor->target_gene
YBL021C	YMR258C	transcription_factor->target_gene
YBL021C	YPL207W	transcription_factor->target_gene
YBR049C	YBL084C	transcription_factor->target_gene
YBR049C	YBL102W	transcription_factor->target_gene
YBR049C	YBL103C	transcription_factor->target_gene
YBR049C	YBL105C	transcription_factor->target_gene
YBR049C	YBR002C	transcription_factor->target_gene
YBL054W	YHR146W	transcription_factor->target_gene
YBL054W	YLR297W	transcription_factor->target_gene
YBL054W	YNL180C	transcription_factor->target_gene
YAL051W	YDR207C	transcription_factor->target_gene
YAL051W	YOL083W	transcription_factor->target_gene
YAL051W	YPL016W	transcription_factor->target_gene
YBL005W	YBL006C	transcription_factor->target_gene
YBL005W	YBR110W	transcription_factor->target_gene
YBL005W	YIL099W	transcription_factor->target_gene
YBL005W	YKL007W	transcription_factor->target_gene
YBL005W	YLR099C	transcription_factor->target_gene
YBL005W	YLR334C	transcription_factor->target_gene
YBL005W	YLR348C	transcription_factor->target_gene
YBL005W	YMR251W-A	transcription_factor->target_gene
YBL008W	YAR002W	transcription_factor->target_gene
YBL008W	YBR009C	transcription_factor->target_gene
YBL008W	YBR010W	transcription_factor->target_gene
YBL008W	YBR095C	transcription_factor->target_gene
YBL008W	YBR096W	transcription_factor->target_gene
YBL008W	YBR097W	transcription_factor->target_gene
YBL008W	YDR224C	transcription_factor->target_gene
YBR083W	YKL095W	transcription_factor->target_gene
YBR083W	YKR061W	transcription_factor->target_gene
YBR083W	YLR042C	transcription_factor->target_gene
YBR083W	YLR120C	transcription_factor->target_gene
YBR083W	YLR183C	transcription_factor->target_gene
YBR083W	YLR307W	transcription_factor->target_gene
YBR083W	YLR332W	transcription_factor->target_gene
YBR083W	YLR403W	transcription_factor->target_gene
YBR083W	YLR414C	transcription_factor->target_gene
YBR083W	YLR438W	transcription_factor->target_gene
YBR083W	YML100W	transcription_factor->target_gene
YBR083W	YMR125W	transcription_factor->target_gene
YBR049C	YOR260W	transcription_factor->target_gene
YBR083W	YMR173W	transcription_factor->target_gene
YBR083W	YNL051W	transcription_factor->target_gene
YBR083W	YNL069C	transcription_factor->target_gene
YBR083W	YNL159C	transcription_factor->target_gene
YBR083W	YNL166C	transcription_factor->target_gene
YBR083W	YNL283C	transcription_factor->target_gene
YBR083W	YNR040W	transcription_factor->target_gene
YBR083W	YOL105C	transcription_factor->target_gene
YBR083W	YOR051C	transcription_factor->target_gene
